file,site_id,year,rows,flatline_points,flatline_events,flatline_checked_points,spike_points,spike_events,spike_checked_points,unit_inconsistent_points,unit_checked_points,pm25_gt_pm10_points,pm25_pm10_checked_points,invalid_timestamps,duplicate_timestamps,gap_events,missing_hour_slots
Raw_data_1Hr_2009_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2009,8760,2386,127,30333,1815,952,29744,2039,5666,0,0,0,0,0,0
Raw_data_1Hr_2009_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2009,8760,2936,145,28771,1854,871,28310,2744,6638,0,0,0,0,0,0
Raw_data_1Hr_2009_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2009,8760,3522,334,24809,1428,775,24573,272,3426,0,0,0,0,0,0
Raw_data_1Hr_2009_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2009,8760,4856,335,35244,1142,754,34865,6,5398,0,0,0,0,0,0
Raw_data_1Hr_2009_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2009,8760,8638,579,30584,1733,988,30454,33,5729,0,0,0,0,0,0
Raw_data_1Hr_2009_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2009,8760,5485,397,28211,2240,1079,27993,1,5569,0,0,0,0,0,0
Raw_data_1Hr_2009_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw_data_1Hr_2009_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw_data_1Hr_2009_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw_data_1Hr_2009_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw_data_1Hr_2010_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2010,8760,1137,137,31654,1458,917,30696,399,5945,0,0,0,0,0,0
Raw_data_1Hr_2010_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2010,8760,1219,146,31583,1039,649,30943,557,6372,0,0,0,0,0,0
Raw_data_1Hr_2010_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2010,8760,4257,442,42207,2238,1224,41248,628,8094,0,0,0,0,0,0
Raw_data_1Hr_2010_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2010,8760,2517,193,41532,1877,1166,41087,2,6983,0,0,0,0,0,0
Raw_data_1Hr_2010_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2010,8760,2206,209,29208,1312,872,28765,6,5884,0,0,0,0,0,0
Raw_data_1Hr_2010_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2010,8760,1501,162,19298,1002,650,19040,13,3787,0,0,0,0,0,0
Raw_data_1Hr_2010_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
